elapsed, window, total, successful, failed
1.001179, 1.001179, 3906, 3906, 0
2.001115, 0.999936, 4104, 4104, 0
3.001181, 1.000066, 4542, 4542, 0
4.001098, 0.999917, 3772, 3772, 0
5.001341, 1.000243, 4583, 4583, 0
6.001177, 0.999836, 4100, 4100, 0
7.001416, 1.000239, 4575, 4575, 0
8.001202, 0.999786, 5204, 5204, 0
9.001191, 0.999989, 5130, 5128, 2
10.001206, 1.000015, 4471, 4471, 0
11.001243, 1.000037, 4549, 4549, 0
12.001183, 0.99994, 4191, 4191, 0
13.001153, 0.99997, 4298, 4298, 0
14.001114, 0.999961, 4106, 4106, 0
15.001068, 0.999954, 4080, 4080, 0
16.001268, 1.0002, 4065, 4065, 0
17.001245, 0.999977, 3860, 3860, 0
18.00109, 0.999845, 4388, 4387, 1
19.001102, 1.000012, 3814, 3814, 0
20.001109, 1.000007, 3768, 3768, 0
21.001063, 0.999954, 4458, 4458, 0
22.001084, 1.000021, 4301, 4301, 0
23.001118, 1.000034, 4259, 4258, 1
24.001099, 0.999981, 4831, 4830, 1
25.001175, 1.000076, 4163, 4163, 0
26.00108, 0.999905, 4148, 4148, 0
27.001434, 1.000354, 4007, 4007, 0
28.001118, 0.999684, 3929, 3929, 0
29.001084, 0.999966, 4004, 4004, 0
30.001096, 1.000012, 3699, 3699, 0
31.001154, 1.000058, 4649, 4647, 2
32.001138, 0.999984, 4320, 4320, 0
33.001144, 1.000006, 4265, 4263, 2
34.001153, 1.000009, 5263, 5262, 1
35.001413, 1.00026, 4053, 4053, 0
36.001118, 0.999705, 4042, 4042, 0
37.001164, 1.000046, 4494, 4494, 0
38.00119, 1.000026, 4506, 4506, 0
39.001109, 0.999919, 4053, 4053, 0
40.001119, 1.00001, 4009, 4009, 0
41.001159, 1.00004, 3824, 3824, 0
42.001086, 0.999927, 4514, 4513, 1
43.001135, 1.000049, 4518, 4518, 0
44.001123, 0.999988, 5039, 5038, 1
45.00122, 1.000097, 4174, 4173, 1
46.001149, 0.999929, 5386, 5386, 0
47.001094, 0.999945, 3978, 3978, 0
48.001195, 1.000101, 4212, 4212, 0
49.001175, 0.99998, 5617, 5615, 2
50.00128, 1.000105, 4915, 4915, 0
51.001147, 0.999867, 4063, 4063, 0
52.001119, 0.999972, 4166, 4166, 0
53.001336, 1.000217, 4254, 4254, 0
54.001075, 0.999739, 4091, 4091, 0
55.001068, 0.999993, 4384, 4384, 0
56.001166, 1.000098, 4557, 4557, 0
57.001134, 0.999968, 4544, 4544, 0
58.001169, 1.000035, 4056, 4056, 0
59.001206, 1.000037, 4327, 4326, 1
60.001187, 0.999981, 5167, 5165, 2
61.001129, 0.999942, 4344, 4344, 0
61.011627, 0.010498, 0, 0, 0
